,source_language,split,target_language
442,"you are n't in a hurry , are you ?",train,"vous n'ãªtes pas pressã©, siâ ?"
443,she is used to traveling .,train,elle a l'habitude de voyager.
444,you are on the wrong plane .,train,vous vous ãªtes trompã© d'avion.
445,you are n't my mother .,train,tu n'es pas ma mã¨re.
446,she is now staying at her uncle 's house .,train,"maintenant, elle est chez son oncle."
447,he is likely to win the game .,train,il est probable qu'il gagne le jeu.
448,he is a kind boy .,train,c'est un gentil garã§on.
449,he is absorbed in the study of latin .,train,il est plongã© dans les cours de latin.
450,we are giving a farewell party for him tonight .,train,nous lui donnons une fãªte d'adieu ce soir.
451,"he is my brother , not father .",train,"c'est mon frã¨re, pas mon pã¨re."
452,we are all set .,train,nous sommes toutes prãªtes.
453,she is a doctor .,train,elle est toubib.
454,you are a student .,train,tu es un ã©tudiant.
455,he is planning to develop his business .,train,il prã©voit de dã©velopper son affaire.
456,we are in favor of your plan .,train,nous sommes en faveur de votre plan.
457,"you are n't a spy , are you ?",train,"tu n'es pas un espion, siâ€¯?"
458,you are blinded by love .,train,tu es aveuglã©e par l'amour.
459,he is willing enough .,train,il a suffisamment de volontã©.
460,she is good-natured .,train,elle est bienveillante.
461,you are too sensitive to criticism .,train,vous ãªtes trop sensible ã  la critique.
462,she is looking forward to seeing him again .,train,elle est impatiente de le revoir.
463,she is looking for her car keys .,train,elle cherche les clã©s de sa voiture.
464,i am divorced .,train,je suis divorcã©e.
465,she is quick at everything .,train,elle est rapide en tout.
466,i am afraid that you will get lost .,train,je crains que vous vous ã©gariez.
467,he is british .,train,il est britannique.
468,she is dieting .,train,elle est au rã©gime.
469,i am quite opposed to the plan .,train,je suis passablement opposã© ã  ce projet.
470,she is at work right now .,train,"elle est au travail, actuellement."
471,she is very hardworking .,train,elle est dure ã  la tã¢che.
472,he is one of my neighbors .,train,c'est un de mes voisins.
473,he is telling a lie .,train,il dit un mensonge.
474,"you are n't ready yet , are you ?",train,"vous n'ãªtes pas encore prãªt, n'est-ce pas ?"
475,he is a scientist .,train,il est scientifique.
476,i am undressing .,train,je me dã©shabille.
477,he is not guilty of murder .,train,il n'est pas coupable de meurtre.
478,he is a student .,train,c'est un ã©tudiant.
479,he is sure to come .,train,il est certain de venir.
480,she is quite a clever girl .,train,c'est une jeune fille assez maligne.
481,he is as tall as my father .,train,il est aussi grand que mon pã¨re.
482,they are going to get married in the town hall .,train,ils vont se marier dans l'hã´tel de ville.
483,she is sitting on the bench .,train,elle est assise sur un banc.
484,i am new here .,train,"je suis nouveau, ici."
485,you are n't wrong .,train,t'as pas tort.
486,you are not supposed to smoke here .,train,vous n'ãªtes pas censã©e fumer ici.
487,he is fond of this kind of music .,train,il aime ce genre de musique.
488,she is one of my friends .,train,c'est l'une de mes amies.
489,he is amusing himself by playing video games .,train,il s'amuse en jouant aux jeux vidã©os.
490,we are playing tennis this weekend .,train,"nous jouons au tennis, ce week-end."
491,he is a good doctor .,train,c'est un bon docteur.
492,she is her own worst enemy .,train,elle est son propre pire ennemi.
493,he is addicted to cocaine .,train,il est dã©pendant ã  la cocaã¯ne.
494,he is always isolated from his fellow workers .,train,il s'isole toujours de ses collã¨gues de travail.
495,we are liable for the damage .,train,nous sommes responsables en cas de dã©gã¢ts.
496,she is in her hotel now .,train,"elle est ã  son hã´tel, maintenant."
497,he is nothing more than a coward .,train,il n'est rien d'autre qu'un lã¢che.
498,they are my friends .,train,ce sont mes amies.
499,i am a runner .,train,je suis un coureur.
500,he is old enough to drink .,train,il est assez vieux pour boire.
501,he is our teacher of english .,train,il est notre professeur d'anglais.
502,"i am not a doctor , but a teacher .",train,"je ne suis pas mã©decin, mais professeur."
503,you are n't welcome in this house .,train,tu n'es pas le bienvenu dans cette maison.
504,"you are n't ready yet , are you ?",train,"vous n'ãªtes pas encore prãªtes, n'est-ce pas ?"
505,you are wanted on the phone .,train,on vous demande au tã©lã©phone.
506,he is five feet tall .,train,il mesure cinq pieds.
507,she is skipping rope .,train,elle saute ã  la corde.
508,he is an expert in astronomy .,train,c'est un expert en astronomie.
509,i am a college student .,train,je suis ã©tudiant.
510,he is lazy .,train,il est fainã©ant.
511,"you are tired , and so am i .",train,"tu es fatiguã©, et moi aussi."
512,she is not what she used to be .,train,elle n'est plus ce qu'elle ã©tait.
513,i am much obliged to you for your help .,train,j'apprã©cie beaucoup votre aide.
514,she is quite angry .,train,elle est assez fã¢chã©e.
515,she is obstinate .,train,elle est obstinã©e.
516,he is a man of faith .,train,c'est un homme de foi.
517,i am afraid you have the wrong number .,train,j'ai bien peur que vous n'ayez un mauvais numã©ro.
518,i am doubtful of his success .,train,je suis sceptique sur son succã¨s.
519,he is the son of a wealthy family .,train,c'est le fils d'une riche famille.
520,he is photogenic .,train,il est photogã©nique.
521,i am divorced .,train,je suis divorcã©.
522,you are my father .,train,tu es mon pã¨re.
523,i am a teacher .,train,je suis professeur.
524,"she is not home , but at school .",train,elle n'est pas chez elle mais ã  l'ã©cole.
525,i am very happy that you have agreed to that plan .,train,je suis trã¨s heureux que vous ayez souscrit ã  ce projet.
526,she is in an awful mood .,train,elle est d'une humeur massacrante.
527,i am sure we have a lot in common .,train,je suis certain que nous avons beaucoup en commun.
528,i am playing the piano now .,train,je suis en train de jouer du piano.
529,i am very interested in french .,train,je suis trã¨s intã©ressã© par la langue franã§aise.
530,i am expecting some serious work from you .,train,j'attends de toi un travail sã©rieux.
531,i am worried about my mother 's health .,train,je me fais du souci pour la santã© de ma mã¨re.
532,they are going to look after him .,train,ils vont s'occuper de lui.
533,he is in the bathroom .,train,il est dans la salle de bain.
534,you are naughty .,train,tu es vilaine.
535,she is very becoming in a black party dress .,train,elle est trã¨s comme il faut dans une robe de soirã©e noire.
536,he is an old friend of mine .,train,c'est un vieil ami ã  moi.
537,he is able to speak ten languages .,train,il est capable de parler 10 langues.
538,he is liked by everybody .,train,tout le monde l'aime.
539,he is going to stay at a friend 's house .,train,il va rester chez un ami.
540,she is working on the problem .,train,elle travaille sur le problã¨me.
541,he is generally at home in the evening .,train,il est normalement chez lui le soir.
542,he is eager to succeed .,train,il est motivã© pour rã©ussir.
543,she is not a poet but a novelist .,train,elle n'est pas poã¨te mais romanciã¨re.
544,he is a heroin addict .,train,il est dã©pendant ã  l'hã©roã¯ne.
545,you are good .,train,vous ãªtes bonnes.
546,he is hated by everyone .,train,il est dã©testã© de tous.
547,"i am fond of soccer , rugby , football , and so on .",train,"j'adore le football, le rugby, le football amã©ricain, etc."
548,you are blinded by love .,train,vous ãªtes aveuglã©es par l'amour.
549,i am bored out of my mind .,train,je m'ennuie tellement.
550,they are doctors .,train,elles sont mã©decins.
551,she is her old self again .,train,elle est de nouveau elle-mãªme.
552,she is two years younger than me .,train,elle est deux ans plus jeune que moi.
553,he is quick to voice his concerns .,train,il est prompt ã  exprimer ses inquiã©tudes.
554,he is a man of his word .,train,c'est un homme qui tient toujours ses promesses.
555,she is looking for her missing wallet .,train,elle cherche le portefeuille qu'elle a perdu.
556,i am going to work out the problem by myself .,train,je vais rã©soudre ce problã¨me tout seul.
557,i am afraid he will make a mistake .,train,je crains qu'il commette une erreur.
558,she is as beautiful as her mother .,train,elle est belle comme sa mã¨re.
559,they are still children .,train,ils sont encore des enfants.
560,i am very glad school is over .,train,je suis trã¨s contente que l'ã©cole soit finie.
561,he is good at soccer .,train,il est bon au foot.
562,he is always with me .,train,il est toujours avec moi.
563,you are n't looking .,train,tu ne regardes pas.
564,she is an expert in mathematics .,train,elle est experte en mathã©matiques.
565,i am sorry to have troubled you .,train,veuillez m'excuser de vous avoir dã©rangã©.
566,he is a man of noble birth .,train,c'est un homme de famille noble.
567,"you are a good cook , are n't you ?",train,"vous ãªtes bonne cuisiniã¨re, nonâ€¯?"
568,he is sure to pass the exam .,train,il est sã»r de rã©ussir l'examen.
569,she is helping him .,train,elle est en train de l'aider.
570,i am going to the post office to buy stamps .,train,je vais ã  la poste pour acheter des timbres.
571,he is taking a walk .,train,il fait une promenade.
572,he is lying through his teeth .,train,il ment comme un arracheur de dents.
573,i am poor at swimming .,train,je ne sais pas bien nager.
574,he is breathing hard .,train,il respire avec difficultã©.
575,i am sure of her success .,train,je tiens son succã¨s pour certain.
